,date,well_id,water_level,temperature,precipitation,wind_speed
56069,2007-12-01,SN00/11,8.13,5.7734165,11.599999,23.415632
56070,2007-12-01,SU71/23,33.44,5.7734165,11.599999,23.415632
56071,2007-12-01,ID30/1,114.34,5.7734165,11.599999,23.415632
56072,2007-12-01,TR14/9,64.82,5.7734165,11.599999,23.415632
56073,2007-12-01,ST07/10,65.48,5.7734165,11.599999,23.415632
56074,2007-12-01,SJ15/13,80.18,5.7734165,11.599999,23.415632
56075,2007-12-01,NO20/14,35.951,5.7734165,11.599999,23.415632
56076,2007-12-01,TQ25/86,91.42,5.7734165,11.599999,23.415632
56077,2007-12-01,SY68/34,67.94,5.7734165,11.599999,23.415632
56078,2007-12-01,SU01/5B,79.96,5.7734165,11.599999,23.415632
56079,2007-12-01,SU17/57,133.2,5.7734165,11.599999,23.415632
56080,2007-12-02,ST07/10,70.33,4.988,7.3,12.8575325
56081,2007-12-02,SU01/5B,80.57,4.988,7.3,12.8575325
56082,2007-12-02,SY68/34,68.09,4.988,7.3,12.8575325
56083,2007-12-02,TR14/9,64.79,4.988,7.3,12.8575325
56084,2007-12-02,TQ25/86,91.49,4.988,7.3,12.8575325
56085,2007-12-02,SN00/11,8.27,4.988,7.3,12.8575325
56086,2007-12-02,ID30/1,114.5,4.988,7.3,12.8575325
56087,2007-12-02,NO20/14,35.973,4.988,7.3,12.8575325
56088,2007-12-03,SN00/11,8.44,3.26925,0.2,13.932531
56089,2007-12-03,SU01/5B,81.11,3.26925,0.2,13.932531
56090,2007-12-03,TQ25/86,91.53,3.26925,0.2,13.932531
56091,2007-12-03,SY68/34,68.24,3.26925,0.2,13.932531
56092,2007-12-03,ID30/1,114.8,3.26925,0.2,13.932531
56093,2007-12-03,NO20/14,35.957,3.26925,0.2,13.932531
56094,2007-12-03,TR14/9,64.75,3.26925,0.2,13.932531
56095,2007-12-03,ST07/10,73.15,3.26925,0.2,13.932531
56096,2007-12-04,TR14/9,66.78,7.8338337,0.2,20.279083
56097,2007-12-04,TL33/4,77.45,7.8338337,0.2,20.279083
56098,2007-12-04,SU01/5B,81.51,7.8338337,0.2,20.279083
56099,2007-12-04,TL33/67,77.73,7.8338337,0.2,20.279083
56100,2007-12-04,ID30/1,114.98,7.8338337,0.2,20.279083
56101,2007-12-04,SY68/34,68.36,7.8338337,0.2,20.279083
56102,2007-12-04,SN00/11,8.75,7.8338337,0.2,20.279083
56103,2007-12-04,NO20/14,35.957,7.8338337,0.2,20.279083
56104,2007-12-04,SU81/1,47.1,7.8338337,0.2,20.279083
56105,2007-12-04,TQ25/86,91.58,7.8338337,0.2,20.279083
56106,2007-12-04,ST07/10,75.26,7.8338337,0.2,20.279083
56107,2007-12-05,ST07/10,75.41,9.808833,15.899999,29.936491
56108,2007-12-05,TQ25/86,91.65,9.808833,15.899999,29.936491
56109,2007-12-05,NO20/14,35.998,9.808833,15.899999,29.936491
56110,2007-12-05,SY68/34,68.51,9.808833,15.899999,29.936491
56111,2007-12-05,SN00/11,9.13,9.808833,15.899999,29.936491
56112,2007-12-05,ID30/1,114.99,9.808833,15.899999,29.936491
56113,2007-12-05,SU01/5B,81.95,9.808833,15.899999,29.936491
56114,2007-12-06,SN00/11,9.52,8.771334,11.0,21.88303
56115,2007-12-06,NO20/14,36.0,8.771334,11.0,21.88303
56116,2007-12-06,ID30/1,115.0,8.771334,11.0,21.88303
56117,2007-12-06,TQ25/86,91.75,8.771334,11.0,21.88303
56118,2007-12-06,TF81/2A,45.97,8.771334,11.0,21.88303
56119,2007-12-06,ST07/10,76.75,8.771334,11.0,21.88303
56120,2007-12-06,SY68/34,68.66,8.771334,11.0,21.88303
56121,2007-12-06,SU01/5B,82.57,8.771334,11.0,21.88303
56122,2007-12-07,SU01/5B,83.45,5.1442494,2.3999999,21.967476
56123,2007-12-07,TQ25/86,91.87,5.1442494,2.3999999,21.967476
56124,2007-12-07,SU71/23,36.33,5.1442494,2.3999999,21.967476
56125,2007-12-07,SU81/1,50.11,5.1442494,2.3999999,21.967476
56126,2007-12-07,NO20/14,36.001,5.1442494,2.3999999,21.967476
56127,2007-12-07,ST07/10,81.32,5.1442494,2.3999999,21.967476
56128,2007-12-07,NY63/2,130.27,5.1442494,2.3999999,21.967476
56129,2007-12-07,SN00/11,10.54,5.1442494,2.3999999,21.967476
56130,2007-12-07,SY68/34,68.82,5.1442494,2.3999999,21.967476
56131,2007-12-07,ID30/1,115.0,5.1442494,2.3999999,21.967476
56132,2007-12-08,NO20/14,36.027,3.7504997,10.399999,16.991535
56133,2007-12-08,ID30/1,115.0,3.7504997,10.399999,16.991535
56134,2007-12-08,SU01/5B,84.48,3.7504997,10.399999,16.991535
56135,2007-12-08,SN00/11,11.77,3.7504997,10.399999,16.991535
56136,2007-12-08,TQ25/86,92.05,3.7504997,10.399999,16.991535
